Book_Name,Author,Rating,Number_of_Reviews,Price,Description,Listening_Time,Audible_Rank,Main_Genre,Genre_List
War and Peace: BBC Radio 4 full-cast dramatisation,Leo Tolstoy,5.0,4.0,888.0,"Paterson Joseph, John Hurt, Lesley Manville and Harriet Walter are among the cast of BBC Radio 4's epic full-cast dramatisation. Adapted for radio by Timberlake Wertenbaker, Leo Tolstoy's epic story follows the fortunes of three Russian aristocratic families during the Napoleonic War. First broadcast on New Year's Day 2015, the drama also features Alun Armstrong, Natasha Little, David Calder, Phoebe Fox, Sam Reid and Joanna David. Duration: 10 hours approx. ",0 days 09:38:00,1290.0,Russian Literature,"['Russian Literature', 'Drama & Plays', 'Historical Fiction']"
War and Peace: Penguin Classics,Leo Tolstoy,4.3,1233.0,888.0,Brought to you by Penguin. ,2 days 19:16:00,1978.0,Historical Fiction,"['Historical Fiction', 'Classic Literature', 'Historical Fiction']"
Warbreaker,Brandon Sanderson,4.6,1423.0,987.0,"After bursting onto the fantasy scene with his acclaimed debut novel, Elantris, and following up with his blockbuster Mistborn trilogy, Brandon Sanderson proves again that he is today's leading master of what Tolkien called 'secondary creation', the invention of whole worlds, complete with magics and myths all their own. ",1 days 00:56:00,852.0,Action & Adventure Fantasy,"['Action & Adventure Fantasy', 'Epic Fantasy', 'Fantasy']"
Way of the Peaceful Warrior: A Book That Changes Lives,Dan Millman,4.6,1386.0,702.0,"This audio edition of the international best seller Way of the Peaceful Warrior is based on the story of Dan Millman, a world-class gymnast who has it all, but is troubled by a vague sense of dissatisfaction with his everyday life. He meets an eccentric old mentor named Socrates, who sets him on a spiritual odyssey that will ultimately deliver or destroy him. Along the way Dan encounters realms of light and darkness, of romance and magic, as he learns what it means to live as a peaceful warrior. ",0 days 06:01:00,4756.0,"Other Religions, Practices & Sacred Texts","['Other Religions, Practices & Sacred Texts', 'Mind, Body & Spirit', 'Contemporary Fiction']"
"We Are Legion (We Are Bob): Bobiverse, Book 1",Dennis E. Taylor,4.6,1661.0,668.0,"There's a reason We Are Legion, We Are Bob was named Audible's Best Science Fiction Book of 2016: its irresistibly irreverent wit! Bob Johansson has just sold his software company for a small fortune and is looking forward to a life of leisure. The first item on his to-do list: spending his newfound windfall. On an urge to splurge, he signs up to have his head cryogenically preserved in case of death. Then he gets himself killed crossing the street. Waking up 117 years later, Bob discovers his mind has been uploaded into a sentient space probe with the ability to replicate itself. Bob and his clones are on a mission to find new homes for humanity and boldly go where no Bob has gone before.",0 days 09:56:00,2464.0,First Contact Science Fiction,"['First Contact Science Fiction', 'Hard Science Fiction', 'Science Fiction']"
We Shouldn't,Vi Keeland,4.6,538.0,668.0,"From number one New York Times best-selling author Vi Keeland comes a new, sexy stand-alone novel.",0 days 08:36:00,3328.0,Romance,"['Romance', 'Romance']"
"What Doesn't Kill Us: How Freezing Water, Extreme Altitude and Environmental Conditioning Will Renew Our Lost Evolutionary Strength",Scott Carney,4.6,643.0,668.0,"What Doesn't Kill Us, a New York Times best seller, traces our evolutionary journey back to a time when survival depended on how well we adapted to the environment around us. ",0 days 09:31:00,3899.0,Baseball,"['Baseball', 'Biology', 'Anthropology']"
What Every BODY Is Saying: An Ex-FBI Agent’s Guide to Speed-Reading People,Joe Navarro,4.5,3373.0,10378.0,He says that's his best offer. Is it? ,0 days 07:19:00,165.0,Business Sales,"['Business Sales', 'Communication & Social Skills', 'Business Careers']"
What Got You Here Won't Get You There: How Successful People Become Even More Successful,Marshall Goldsmith,4.4,784.0,668.0,"Marshall Goldsmith is an expert at helping global leaders overcome their sometimes unconscious annoying habits and attain a higher level of success. His one-on-one coaching comes with a six-figure price tag. But, in this book, you get Marshall's great advice without the hefty fee!",0 days 07:56:00,179.0,Business Careers,"['Business Careers', 'Business Motivation & Self-Improvement', 'Business Management']"
What I Know for Sure,Oprah Winfrey,4.7,2159.0,323.0,"The inspirational wisdom of Oprah Winfrey, collected for the first time in a beautiful book. After film critic Gene Siskel asked her, 'What do you know for sure?' Oprah Winfrey began writing the 'What I Know For Sure' column in O, The Oprah Magazine. Saying that the question offered her a way to take 'stock of her life', Oprah has penned one column a month over the last 14 years, years in which she retired The Oprah Winfrey Show (the highest-rated program of its kind in history), launched her own television network, became America's only black billionaire, was awarded an honorary degree from Harvard University and the Presidential Medal of Freedom, watched friends and colleagues come and go, lost beloved pets and adopted new ones, and celebrated milestone birthdays. Throughout it all, she's continued to offer her profound and inspiring words of wisdom in her 'What I Know For Sure' column in O, The Oprah Magazine. Now, for the first time, these thoughtful gems have been revised, updated, and collected in What I Know For Sure, a beautiful book packed with insight and revelation from Oprah Winfrey. Organized by theme - joy, resilience, connection, gratitude, possibility, awe, clarity, and power - these essays offer a rare and powerful glimpse into the mind of one of the world's most extraordinary women. Candid, moving, exhilarating, uplifting, and dynamic, the words Oprah shares in What I Know For Sure shimmer with the sort of wisdom and truth that listeners will turn to again and again.",0 days 03:53:00,1993.0,Self-Esteem,"['Self-Esteem', 'Literary Essays', 'Personal Success']"
